Recipient_ID,Recipient_Name,PLRE_ID,BLZG_ID
001,Andronicus,Andronicus 3,
002,Hypatius,Hypatius 1,
003,Alexander,Alexander 5,
004,Marcellinus,,
005,Acacius,Acacius 8,
006,Philippus,Philippus 3,
007,Maximus,Maximus 19,
008,Castricius,,Castricius ii
009,Alcimus,,
010,Aristaenetus,Aristaenetus 1,
011,Clematius,Clematius 2,
012,Parnasius,Parnasius 1,
013,Eumolpius,,
014,Pannychius,,
015,Artabius,,
016,Ammianus,Ammianus 3,
017,Priscianus,Priscianus 1,
018,Celsus,Celsus 3,
019,Acacius,Acacius 7,
020,Gerontius,Gerontius 2,
021,Seleucus,Seleucus 1,
022,Belaeus,,
023,Gaianus,Gaianus 6,
024,Marius,Marius 1,
025,Hierus,Hierus 4,
026,Ulpianus,Ulpianus 3,
027,Araxius,,
028,Anatolius,Anatolius 3,
029,Honoratus,Honoratus 2,
030,Modestus,Domitius Modestus 2,
031,Nicocles,,
032,Italicianus,,
033,Clearchus,Clearchus 1,
034,Theodorus,Theodorus 11,
035,Themistius,Themistius 1,
036,Caesarius,Caesarius 1,
037,Jovinus,Jovinus 1,
038,Datianus,Datianus 1,
